id,name,survey_year,faculty,department,levell,programme_id,programme,discipline,discipline_group_category,discipline_group_id,discipline_group,intake,admission_criterion,duration_year,duration_month,type,system
160,"Ch. Devi Lal University, Sirsa",2015,Physical Sciences,Computer Science & Applications,PG Diploma,155,PG Diploma-Post Graduate Diploma,Diploma of Computer Science & Technology,IT & Computer,95,Computer Science,4,Direct Admission,1,0,Self Financing,Annual
160,"Ch. Devi Lal University, Sirsa",2015,Physical Sciences,Computer Science & Applications,Under Graduate,46,B.C.A.-Bachelor of Computer Applications,BCA,IT & Computer,183,Computer Application,27,Direct Admission,3,0,Self Financing,Annual
160,"Ch. Devi Lal University, Sirsa",2015,Physical Sciences,Computer Science & Applications,Post Graduate,130,M.C.A. -Master of Computer Applications,MCA,IT & Computer,183,Computer Application,13,Direct Admission,3,0,Self Financing,Annual
160,"Ch. Devi Lal University, Sirsa",2015,Physical Sciences,Computer Science & Applications,Post Graduate,111,M.Sc.-Master of Science,M.Sc.,Science,107,Other Science,17,Direct Admission,2,0,Self Financing,Annual
160,"Ch. Devi Lal University, Sirsa",2015,Physical Sciences,Computer Science & Applications,PG Diploma,155,PG Diploma-Post Graduate Diploma,PGDCA,IT & Computer,95,Computer Science,17,Direct Admission,1,0,Self Financing,Annual
160,"Ch. Devi Lal University, Sirsa",2015,Humanities,English,Under Graduate,6,B.A.-Bachelor of Arts,Arts,Arts,178,Arts,969,Direct Admission,3,0,Self Financing,Annual
160,"Ch. Devi Lal University, Sirsa",2015,Humanities,English,Post Graduate,124,M.A.-Master of Arts,English,Foreign Language,31,English,94,Direct Admission,2,0,Self Financing,Annual
160,"Ch. Devi Lal University, Sirsa",2015,Humanities,English,Post Graduate,124,M.A.-Master of Arts,Hindi,Indian Language,41,Hindi,87,Direct Admission,2,0,Self Financing,Annual
160,"Ch. Devi Lal University, Sirsa",2015,Humanities,English,Post Graduate,124,M.A.-Master of Arts,Punjabi,Indian Language,45,Punjabi,97,Direct Admission,2,0,Self Financing,Annual
160,"Ch. Devi Lal University, Sirsa",2015,Humanities,English,Post Graduate,124,M.A.-Master of Arts,Sanskrit,Indian Language,46,Sanskrit,16,Direct Admission,2,0,Self Financing,Annual
160,"Ch. Devi Lal University, Sirsa",2015,Humanities,Journalism & Mass Communication,Under Graduate,6,B.A.-Bachelor of Arts,Mass Communication,Arts,178,Arts,15,Direct Admission,3,0,Self Financing,Annual
160,"Ch. Devi Lal University, Sirsa",2015,Humanities,Journalism & Mass Communication,Post Graduate,124,M.A.-Master of Arts,Mass Communication,Journalism & Mass Communication,51,Journalism & Mass Communication,20,Direct Admission,2,0,Self Financing,Annual
160,"Ch. Devi Lal University, Sirsa",2015,Education,Education,Post Graduate,124,M.A.-Master of Arts,Education,Education,12,Education,92,Direct Admission,2,0,Self Financing,Annual
160,"Ch. Devi Lal University, Sirsa",2015,Commerce & Management,Business Administration,Post Graduate,126,M.B.A.- Master of Business Administration,Management,Management,133,Business Administration,162,Direct Admission,2,0,Self Financing,Semester
160,"Ch. Devi Lal University, Sirsa",2015,Commerce & Management,Business Administration,Post Graduate,191,P.G.D.M.-Post-Graduate Diploma in Management,PGDMC,Management,55,Business Management,4,Direct Admission,1,0,Self Financing,Annual
160,"Ch. Devi Lal University, Sirsa",2015,Commerce & Management,Business Administration,PG Diploma,155,PG Diploma-Post Graduate Diploma,PGDBM,Management,55,Business Management,0,Direct Admission,1,0,Self Financing,Annual
160,"Ch. Devi Lal University, Sirsa",2015,Commerce & Management,Commerce,Under Graduate,12,B.Com.-Bachelor of Commerce,Commerce,Commerce,9,Commerce,227,Direct Admission,3,0,Self Financing,Annual
160,"Ch. Devi Lal University, Sirsa",2015,Commerce & Management,Commerce,PG Diploma,155,PG Diploma-Post Graduate Diploma,PGDDM,Management,60,Other Management,7,Direct Admission,1,0,Self Financing,Annual
497,"Amity University, Gautam Budh Nagar",2015,Directorate of Distance Learning & Online Education,Amity School of Distance Learning,Under Graduate,46,B.C.A.-Bachelor of Computer Applications,Computer Application,IT & Computer,183,Computer Application,180,Direct Admission,3,0,Self Financing,Semester
497,"Amity University, Gautam Budh Nagar",2015,Directorate of Distance Learning & Online Education,Amity School of Distance Learning,PG Diploma,155,PG Diploma-Post Graduate Diploma,Management,Management,55,Business Management,240,Direct Admission,1,0,Self Financing,Semester
497,"Amity University, Gautam Budh Nagar",2015,Directorate of Distance Learning & Online Education,Amity School of Distance Learning,Under Graduate,43,B.B.A.-Bachelor of Business Administration,General,Management,133,Business Administration,80,Direct Admission,3,0,Self Financing,Semester
497,"Amity University, Gautam Budh Nagar",2015,Directorate of Distance Learning & Online Education,Amity School of Distance Learning,Post Graduate,126,M.B.A.- Master of Business Administration,All,Management,133,Business Administration,780,Direct Admission,2,0,Self Financing,Semester
497,"Amity University, Gautam Budh Nagar",2015,Directorate of Distance Learning & Online Education,Amity School of Distance Learning,Post Graduate,130,M.C.A. -Master of Computer Applications,General,IT & Computer,183,Computer Application,150,Direct Admission,3,0,Self Financing,Semester
131,"Dr. Babasaheb Ambedkar Open University, Ahmedabad",2015,School of Commerce and Management,School of Commerce and Management,Diploma,82,Diploma-Diploma,Operation Research,Science,174,Mathematics,NA,NA,1,0,General,Annual
131,"Dr. Babasaheb Ambedkar Open University, Ahmedabad",2015,School of Commerce and Management,School of Commerce and Management,Diploma,82,Diploma-Diploma,Advanced Accounting,Commerce,9,Commerce,NA,NA,1,0,General,Annual
131,"Dr. Babasaheb Ambedkar Open University, Ahmedabad",2015,School of Education Distance Education & Education Technology,School of Education Distance Education & Education Technology,Under Graduate,17,B.Ed.-Bachelor of Education,Education,Education,12,Education,NA,NA,1,0,General,Semester
131,"Dr. Babasaheb Ambedkar Open University, Ahmedabad",2015,School of Education Distance Education & Education Technology,School of Education Distance Education & Education Technology,Ph.D.,157,Ph.D.-Doctor of Philosophy,Education,Education,12,Education,NA,NA,3,0,General,Annual
131,"Dr. Babasaheb Ambedkar Open University, Ahmedabad",2015,School of Humanities & Social Sciences,School of Humanities & Social Sciences,Certificate,76,Certificate-Certificate,Teaching of English,Foreign Language,31,English,NA,NA,0,9,General,Semester
131,"Dr. Babasaheb Ambedkar Open University, Ahmedabad",2015,School of Humanities & Social Sciences,School of Humanities & Social Sciences,Certificate,76,Certificate-Certificate,French,Foreign Language,32,French,NA,NA,0,9,General,Semester
131,"Dr. Babasaheb Ambedkar Open University, Ahmedabad",2015,School of Humanities & Social Sciences,School of Humanities & Social Sciences,Certificate,76,Certificate-Certificate,Communication Skill,Foreign Language,31,English,NA,NA,0,9,General,Semester
131,"Dr. Babasaheb Ambedkar Open University, Ahmedabad",2015,School of Humanities & Social Sciences,School of Humanities & Social Sciences,Certificate,76,Certificate-Certificate,Naturopathy,Medical Science,155,Medical Physics,NA,NA,0,9,General,Semester
131,"Dr. Babasaheb Ambedkar Open University, Ahmedabad",2015,School of Humanities & Social Sciences,School of Humanities & Social Sciences,Diploma,82,Diploma-Diploma,Creative Writing,Indian Language,41,Hindi,NA,NA,1,0,General,Annual
131,"Dr. Babasaheb Ambedkar Open University, Ahmedabad",2015,School of Humanities & Social Sciences,School of Humanities & Social Sciences,Post Graduate,124,M.A.-Master of Arts,Hindi,Indian Language,41,Hindi,NA,NA,2,0,General,Annual
